"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Aarakocra Aeromancer","MM'25","10","Medium","Elemental","neutral","16","66 (12d8 + 12)","20 ft., Fly 50 ft.","10","16","12","13","17","12","Dex +5, Wis +5","Arcana +3, Nature +5, Perception +7","","","","","passive Perception 17","Aarakocra, Primordial (Auran)","4 (XP 1.100; PB +2)","","Multiattack. The aarakocra makes two Wind Staff attacks, and it can use Spellcasting to cast Gust of Wind.

Spellcasting. The aarakocra casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 13):

At will: Elementalism, Gust of Wind, Mage Hand, Message

1/day: Lightning Bolt

Wind Staff. Melee or Ranged Attack Roll: +5, reach 5 ft. or range 120 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 11 (2d10) Lightning damage.","","Feather Fall (1/Day). The aarakocra casts Feather Fall in response to that spell's trigger, using the same spellcasting ability as Spellcasting.","","","","","Mountain, Planar (Elemental Plane of Air)","Individual, Implements"
"Aarakocra Simulacrum","SKT","188","Medium","Humanoid (Aarakocra)","neutral good","12","6 (3d4)","20 ft., Fly 50 ft.","10","14","10","11","12","11","","Perception +5","","","","","passive Perception 15","Auran, Aarakocra","1/8 (XP 25; PB +2)","Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.

Simulacra. When a simulacrum drops to 0 hit points or is subjected to a successful dispel magic spell (DC 17), it reverts to ice and snow and is destroyed.","Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.

Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.

Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it.","","","","","","","",""
"Aarakocra Skirmisher","MM'25","10","Medium","Elemental","neutral","12","11 (2d8 + 2)","20 ft., Fly 50 ft.","10","14","12","11","12","11","","Perception +5","","","","","passive Perception 15","Aarakocra, Primordial (Auran)","1/4 (XP 50; PB +2)","","Talons. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Slashing damage, or 9 (3d4 + 2) Slashing damage if the aarakocra moved 30+ feet straight toward the target immediately before the hit.

Wind Javelin. Melee or Ranged Attack Roll: +4, reach 5 ft. or range 30/120 ft. Hit: 5 (1d6 + 2) Piercing damage plus 2 (1d4) Thunder damage. Hit or Miss: The javelin magically returns to the aarakocra's hand immediately after a ranged attack.","","","","","","","Mountain, Planar (Elemental Plane of Air)","Individual, Implements"
"Aarakocra Spelljammer","LoX","43","Medium","Humanoid (Aarakocra)","any alignment","12 (15 with mage armor)","40 (9d8)","30 ft., Fly 50 ft.","9","14","11","17","12","11","Int +6, Wis +4","Arcana +6, History +6","","","","","passive Perception 11","Any four languages","6 (XP 2.300; PB +3)","Spellcasting. The aarakocra is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The aarakocra has the following wizard spells prepared:

Cantrips (at will): fire bolt, light, mage hand, prestidigitation

1st level (4 slots): detect magic, mage armor, magic missile, shield

2nd level (3 slots): misty step, suggestion

3rd level (3 slots): counterspell, fireball, fly

4th level (3 slots): greater invisibility, ice storm

5th level (1 slot): cone of cold","Dagger. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 4 (1d4 + 2) piercing damage.","","","","","","","",""
"Aartuk Elder","BAM","8","Large","Plant","lawful evil","16 (natural armor)","75 (10d10 + 20)","20 ft., Climb 20 ft.","18","10","15","12","14","12","","","","","","","Darkvision 60 ft., passive Perception 12","Aartuk","3 (XP 700; PB +2)","Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each.

Branch. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.

Radiant Pellet. Ranged Spell Attack: +4 to hit, range 60 ft., one target. Hit: 10 (4d4) radiant damage.

Spellcasting (Psionics). The aartuk casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability (spell save DC 12):

1/day each: calm emotions, detect magic, sending","Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Large or smaller creature it can see within 30 feet of itself. The target must make a DC 12 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 14) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.","","","","","","",""
"Aartuk Starhorror","BAM","9","Medium","Plant","lawful evil","14 (natural armor)","52 (8d8 + 16)","20 ft., Climb 20 ft.","12","10","14","13","16","10","","Stealth +4","","","","","Darkvision 60 ft., passive Perception 13","Aartuk","2 (XP 450; PB +2)","Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each.

Branch. Melee Weapon Attack: +3 to hit, reach 10 ft., one target. Hit: 8 (2d6 + 1) bludgeoning damage.

Radiant Pellet. Ranged Spell Attack: +2 to hit, range 60 ft., one target. Hit: 7 (3d4) radiant damage.

Spellcasting (Psionics). The aartuk casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability:

1/day each: revivify, speak with plants","Rally the Troops (1/Day). The aartuk magically ends the charmed and frightened conditions on itself and each creature of its choice that it can see within 30 feet of itself.

Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Medium or smaller creature it can see within 30 feet of itself. The target must make a DC 12 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 11) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.","","","","","","",""
"Aartuk Weedling","BAM","9","Medium","Plant","lawful evil","15 (natural armor)","38 (7d8 + 7)","20 ft., Climb 20 ft.","14","12","13","10","13","10","","","","","","","Darkvision 60 ft., passive Perception 11","Aartuk","2 (XP 450; PB +2)","Spider Climb. The aartuk can climb difficult surfaces, including upside down on ceilings, without needing to make an ability check.","Multiattack. The aartuk makes two Branch attacks, two Radiant Pellet attacks, or one of each.

Branch. Melee Weapon Attack: +4 to hit, reach 10 ft., one target. Hit: 8 (2d6 + 2) bludgeoning damage.

Radiant Pellet. Ranged Spell Attack: +3 to hit, range 60 ft., one target. Hit: 7 (3d4 + 1) radiant damage.","Tongue (Recharge 6). The aartuk tries to use its gooey tongue to snare one Medium or smaller creature it can see within 30 feet of itself. The target must make a DC 11 Dexterity saving throw. On a failed save, the target is grappled by the tongue (escape DC 12) and pulled up to 25 feet toward the aartuk. The tongue can grapple one creature at a time.","","","","","","",""
"Aberrant Cultist","MM'25","86","Small or Medium","Humanoid","neutral evil","14","137 (25d8 + 25)","30 ft.","10","19","12","16","18","15","Int +6, Wis +7","Arcana +6, Perception +7, Religion +6","","","","","Darkvision 90 ft., passive Perception 17","Common, Deep Speech; telepathy 30 ft.","8 (XP 3.900; PB +3)","","Multiattack. The cultist makes two Tentacle Lash attacks. It can replace any attack with a use of Mind Rot.

Spellcasting. The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 15):

At will: Detect Thoughts, Minor Illusion

Tentacle Lash. Melee Attack Roll: +7, reach 10 ft. Hit: 7 (1d6 + 4) Slashing damage plus 14 (4d6) Psychic damage. If the target is a Large or smaller creature, it has the Grappled condition (escape DC 14) from one of two tentacles, and it has the Restrained condition until the grapple ends.

Mind Rot. Wisdom Saving Throw: DC 15, one creature the cultist can see within 90 feet. Failure: 27 (6d8) Psychic damage, and the target has the Poisoned condition until the start of the cultist's next turn. Success: Half damage only.","","Counterspell (2/Day). The cultist casts Counterspell in response to that spell's trigger, using the same spellcasting ability as Spellcasting.","","","","","Any","Individual, Relics"
"Aberrant Spirit","PHB'24","322","Medium","Aberration","neutral","11 + the spell's level","40 + 10 for each spell level above 4","30 ft., Fly 30 ft. (hover; Beholderkin only)","16","10","15","16","10","6","","","","","psychic","","Darkvision 60 ft., passive Perception 10","Deep Speech, understands the languages you know","None (XP 0; PB equals your Proficiency Bonus)","Regeneration (Slaad Only). The spirit regains 5 Hit Points at the start of its turn if it has at least 1 Hit Point.

Whispering Aura (Mind Flayer Only). At the start of each of the spirit's turns, the spirit emits psionic energy if it doesn't have the Incapacitated condition. Wisdom Saving Throw: DC equals your spell save DC, each creature (other than you) within 5 feet of the spirit. Failure: 2d6 Psychic damage.","Multiattack. The spirit makes a number of attacks equal to half this spell's level (round down).

Claw (Slaad Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d10 + 3 + the spell's level Slashing damage, and the target can't regain Hit Points until the start of the spirit's next turn.

Eye Ray (Beholderkin Only). Ranged Attack Roll: Bonus equals your spell attack modifier, range 150 ft. Hit: 1d8 + 3 + the spell's level Psychic damage.

Psychic Slam (Mind Flayer Only). Melee Attack Roll: Bonus equals your spell attack modifier, reach 5 ft. Hit: 1d8 + 3 + the spell's level Psychic damage.","","","","","","","",""
"Aberrant Zealot","PaBTSO","203","Medium","Aberration","chaotic evil","16 (studded leather armor)","93 (17d8 + 17)","30 ft.","15","18","12","13","8","19","Dex +7, Cha +7","Perception +5","","psychic","","blinded, charmed, frightened, grappled, restrained","Darkvision 60 ft., Truesight 10 ft., passive Perception 15","Common, Deep Speech","8 (XP 3.900; PB +3)","Aberrant Form. The zealot exudes the chaos of the Far Realm. Any non-Aberration creature that starts its turn within 5 feet of the zealot must succeed on a DC 15 Wisdom saving throw or take 7 (2d6) psychic damage.

Weirdly Pliable. The zealot, along with any equipment it is wearing or carrying, is unnaturally flexible. The zealot can move through any space as narrow as 1 inch without squeezing.","Multiattack. The zealot makes one Psychic Rend attack and two Shortsword attacks.

Psychic Rend. Melee or Ranged Spell Attack: +7 to hit, reach 15 ft. or range 120 ft., one target. Hit: 14 (3d6 + 4) psychic damage, and the target must succeed on a DC 15 Wisdom saving throw or have the stunned condition until the start of the zealot's next turn.

Shortsword. Melee Weapon Attack: +7 to hit, reach 15 ft., one target. Hit: 7 (1d6 + 4) piercing damage plus 7 (2d6) psychic damage.

Spellcasting (Psionics). The zealot casts one of the following spells, requiring no components and using Charisma as the spellcasting ability (spell save DC 15):

At will: detect thoughts, minor illusion

1/day each: arcane gate, hunger of Hadar","Void Warp (Recharge 5–6). The zealot teleports, along with any equipment it is wearing or carrying, to an unoccupied space it can see within 120 feet of itself, leaving a churning void in the space it left. Immediately after it teleports, each creature within 30 feet of the void other than the zealot must make a DC 15 Strength saving throw. On a failed save, a creature takes 18 (4d8) force damage and is pulled to the unoccupied space closest to the void. On a successful save, the creature takes half as much damage only. The void then disappears.","","","","","","",""
