"Name,""Source"",""Page"",""Level"",""Casting Time"",""Duration"",""School"",""Range"",""Components"",""Classes"",""Optional/Variant Classes"",""Subclasses"",""Text"",""At Higher Levels""";;;;;;;;;;;;
"El horrible marchitamiento de Abi-Dalzim,""XGE"",""150"",""octavo"",""Acción"",""Instantáneo"",""Nigromancia"",""150 pies"",""V, S, M (un poco de esponja)"","""",""Hechicero (PHB'14), Hechicero (PHB'24), Mago (PHB'14), Mago (PHB'24)"",""Clérigo Arcanos (SCAG), Clérigo Arcanos (SCAG)"",""Extraes la humedad de cada criatura en un cubo de 30 pies centrado en un punto que eliges dentro del alcance. Cada criatura en esa área debe realizar una tirada de salvación de Constitución. Los constructos y los muertos vivientes no se ven afectados, y las plantas y los elementales de agua hacen esta tirada de salvación con desventaja. Una criatura sufre 12d8 de daño necrótico si falla una salvación, o la mitad de daño si tiene éxito.";;;;;;;;;;;;
;;;;;;;;;;;;
"Las plantas no mágicas del área que no son criaturas, como árboles y arbustos, se marchitan y mueren instantáneamente."",""""";;;;;;;;;;;;
"Absorber elementos,""XGE"",""150"",""1er"",""Reacción"",""1 ronda"",""Abjuración"",""Ser"",""S"","""",""Artificiero (TCE), Artificiero (EFA), Druida (PHB'14), Druida (PHB'24), Guardabosques (PHB'14), Guardabosques (PHB'24), Hechicero (PHB'14), Hechicero (PHB'24), Mago (PHB'14), Mago (PHB'24)"",""Abjurador (PHB'24) Mago, Tramposo Arcano (PHB'24) Pícaro, Tramposo Arcano (PHB'14) Pícaro, Lore (PHB'24) Bardo, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador"",""El hechizo captura parte de la energía entrante, disminuyendo su efecto en ti y almacenándola para tu próximo ataque cuerpo a cuerpo. Tienes resistencia al tipo de daño desencadenante hasta el comienzo de tu próximo turno. Además, la primera vez que golpeas con un ataque cuerpo a cuerpo en tu siguiente turno, el objetivo recibe 1d6 de daño adicional del tipo desencadenante y el hechizo termina."",""En niveles superiores. Cuando lanzas este hechizo usando un espacio de hechizo de 2.º nivel o superior, el daño adicional aumenta en 1d6 por cada nivel de espacio por encima del 1.º.""";;;;;;;;;;;;
"Salpicadura de ácido,""PHB'14"",""211"",""Truco"",""Acción"",""Instantáneo"",""Conjuración"",""60 pies"",""V, S"",""Artificiero (TCE), Hechicero (PHB'14), Mago (PHB'14)"","""",""Arcano (SCAG) Clérigo, Arcano (SCAG) Clérigo, Arcano Trickster (PHB'24) Pícaro, Arcano Trickster (PHB'14) Pícaro, Lore (PHB'24) Bardo, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador"",""Lanzas una burbuja de ácido. Elige una criatura que puedas ver dentro del alcance, o elige dos criaturas que puedas ver dentro del alcance y que estén a 5 pies de distancia entre sí. Un objetivo debe superar una tirada de salvación de Destreza o sufrir 1d6 de daño por ácido.";;;;;;;;;;;;
;;;;;;;;;;;;
"El daño de este hechizo aumenta en 1d6 cuando alcanzas el nivel 5 (2d6), el nivel 11 (3d6) y el nivel 17 (4d6)."",""""";;;;;;;;;;;;
"Salpicadura de ácido,""PHB'24"",""239"",""Truco"",""Acción"",""Instantáneo"",""Evocación"",""60 pies"",""V, S"",""Artificiero (EFA), Hechicero (PHB'24), Mago (PHB'24)"","""",""Arcano (SCAG) Clérigo, Arcano (SCAG) Clérigo, Tramposo Arcano (PHB'24) Pícaro, Tramposo Arcano (PHB'14) Pícaro, Tierra (Tierra Tropical) (PHB'24) Druida, Conocimiento (PHB'24) Bardo, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador, Evocador (PHB'24) Mago"",""Creas una burbuja ácida en un punto dentro del alcance, donde explota en una esfera de 5 pies de radio. Cada criatura en esa Esfera debe superar una tirada de salvación de Destreza o sufrir 1d6 de daño por Ácido."",""Actualización de Cantrip. El daño aumenta en 1d6 cuando alcanzas los niveles 5 (2d6), 11 (3d6) y 17 (4d6).""";;;;;;;;;;;;
"Abrasador de Aganazar,""XGE"",""150"",""2do"",""Acción"",""Instantáneo"",""Evocación"",""30 pies"",""V, S, M (la escama de un dragón rojo)"","""",""Hechicero (PHB'14), Hechicero (PHB'24), Mago (PHB'14), Mago (PHB'24)"",""Tramposo Arcano (PHB'24) Pícaro, Tramposo Arcano (PHB'14) Pícaro, Lore (PHB'24) Bardo, Caballero sobrenatural (PHB'24) Luchador, Caballero sobrenatural (PHB'14) Luchador, Evocador (PHB'24) Mago"",""Una línea de llamas rugientes de 30 pies de largo y 5 pies de ancho emana de ti en la dirección que elijas. Cada criatura en la línea debe realizar una tirada de salvación de Destreza. Una criatura sufre 3d8 de daño por fuego si falla una salvación, o la mitad de daño si tiene éxito."",""En niveles superiores. Cuando lanzas este hechizo usando un espacio de hechizo de 3er nivel o superior, el daño aumenta en 1d8 por cada nivel de espacio por encima del 2do.""";;;;;;;;;;;;
"Ayuda,""PHB'14"",""211"",""2do"",""Acción"",""8 horas"",""Abjuración"",""30 pies"",""V, S, M (una pequeña tira de tela blanca)"",""Artificiero (TCE), Clérigo (PHB'14), Paladín (PHB'14)"",""Bardo (PHB'14), Guardabosques (PHB'14)"",""Alma Mecánica (TCE) Hechicero, Conocimiento (PHB'24) Bardo, Alma Divina (XGE) Hechicero, Alma Divina (XGE) Hechicero, Clérigo de la Paz (TCE), Clérigo de la Paz (TCE), Clérigo de Solidaridad (PSA) (PSA), Clérigo de Solidaridad (PSA) (PSA)"",""Tu hechizo refuerza a tus aliados con dureza y resolución. Elige hasta tres criaturas dentro del alcance. Los puntos de vida máximos de cada objetivo y los puntos de vida actuales aumentan en 5 durante la duración."",""En niveles superiores. Cuando lanzas este hechizo usando un espacio de hechizo de 3er nivel o superior, los puntos de vida del objetivo aumentan en 5 adicionales por cada nivel de espacio por encima del 2do.""";;;;;;;;;;;;
