Name,Source,Page,Rarity,Type,Attunement,Damage,Properties,Mastery,Weight,Value,Text
+1 All-Purpose Tool,TCE,119,poco comun,"objeto maravilloso, Spellcasting Focus",requiere sintonia By an Artificer,,,,,,"This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool recibe, you are proficient with it.

While holding this tool, you gain a +1 bonus to the spell attack rolls and the tirada de salvacion DCs of your artificer spells.

As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
+1 Ammunition,DMG'24,228,poco comun,"Ammunition, Generic Variant",,,,,,,"You have a +1 bonus to attack and dano rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.

This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a pocion of the same rarity (200 GP).

Base items. This item variant can be applied to the following base items:

Arrow (+1 Arrow)Bolt (+1 Bolt)Energy Cell (+1 Energy Cell)Firearm Bullet (+1 Firearm Bullet)Needle (+1 Needle)Sling Bullet (+1 Sling Bullet)"
+1 Amulet of the Devout,TCE,119,poco comun,objeto maravilloso,requiere sintonia By a Cleric or Paladin,,,,1 lb.,,"This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +1 bonus to spell attack rolls and the tirada de salvacion DCs of your spells.

While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
+1 Arcane Grimoire,TCE,120,poco comun,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Wizard,,,,3 lb.,,"While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +1 bonus to spell attack rolls and to the tirada de salvacion DCs of your wizard spells.

You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
+1 armadura,DMG'24,230,raro,Generic Variant,,,,,,,"You have a +1 bonus to AC while wearing this armadura.

Base items. This item variant can be applied to the following base items:

Breastplate (+1 Breastplate)Chain Mail (+1 Chain Mail)Chain Shirt (+1 Chain Shirt)Half Plate armadura (+1 Half Plate armadura)Hide armadura (+1 Hide armadura)Leather armadura (+1 Leather armadura)Padded armadura (+1 Padded armadura)Plate armadura (+1 Plate armadura)anillo Mail (+1 anillo Mail)Scale Mail (+1 Scale Mail)Splint armadura (+1 Splint armadura)Studded Leather armadura (+1 Studded Leather armadura)"
+1 Bloodwell Vial,TCE,122,poco comun,"objeto maravilloso, Spellcasting Focus",requiere sintonia By a Sorcerer,,,,,,"To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +1 bonus to spell attack rolls and to the tirada de salvacion DCs of your sorcerer spells.

In addition, when you roll any Hit Dice to recover puntos de golpe while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
+1 Dragonhide Belt,FTD,23,poco comun,objeto maravilloso,requiere sintonia By a Monk,,,,,,"This finely detailed belt is made of dragonhide. While wearing it, you gain a +1 bonus to the tirada de salvacion DCs of your ki features. In addition, you can use an action to regain ki points equal to a roll of your Martial Arts die. You can't use this action again until the next dawn."
+1 Fate Dealer's Deck,BMT,61,raro,objeto maravilloso,requiere sintonia By a Cleric or Paladin,,,,,,"The backs of these cards are inscribed with glyphs representing the Inner Planes, the Outer Planes, or the holy symbols of various deities. While holding this deck, you can use it as a spellcasting focus, and you gain a +1 bonus to spell attack rolls and to your CD de salvacion de conjuros.

In addition, while you're holding the deck, you can draw a card as an action to expend and roll one of your Hit Dice and add the deck's bonus to the number rolled. una criatura you can see within 30 pies of you either recibe radiant dano or regains puntos de golpe (your choice) equal to the total."
+1 Moon Sickle,TCE,133,poco comun,"arma (Sickle), Simple arma, Melee arma",requiere sintonia By a Druid or Ranger,1d4 Slashing,light,,2 lb.,,"This silver-bladed sickle glimmers softly with moonlight. While holding this magic arma, you gain a +1 bonus to attack and dano rolls made with it, and you gain a +1 bonus to spell attack rolls and the tirada de salvacion DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.

When you cast a spell that restores puntos de golpe, you can roll a d4 and add the number rolled to the amount of puntos de golpe restored, provided you are holding the sickle.

Light. A light arma is Pequeno and easy to handle, making it ideal for use when fighting with two weapons."
+1 Rhythm-Maker's Drum,TCE,134,poco comun,"objeto maravilloso, Instrument (Drum)",requiere sintonia By a Bard,,,,3 lb.,,"While holding this drum, you gain a +1 bonus to spell attack rolls and to the tirada de salvacion DCs of your bard spells.

As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.

If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.

See the Tool Proficiencies entry for more information.

Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument.

History. Your expertise aids you in recalling lore related to your instrument.

Performance. Your ability to put on a bueno show is improved when you incorporate an instrument into your act.

Compose a Tune. As part of a descanso largo, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.

Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
