"Name","Source","Page","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment","Treasure"
"Arakocra","MM'14","12","Mediano","Humanoide (Aarakocra)","neutral bueno","12","13 (3d8)","20 pies, Vuela 50 pies.","10","14","10","11","12","11","","Percepción +5","","","","","percepción pasiva 15","Auran, Arakocra","1/4 (PX 50; PB +2)","Ataque en picado. Si el aarakocra está volando y se lanza al menos 30 pies directamente hacia un objetivo y luego lo golpea con un ataque de arma cuerpo a cuerpo, el ataque causa 3 (1d6) de daño adicional al objetivo.","Garra. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 4 (1d4 + 2) de daño cortante.

Jabalina. Ataque con arma cuerpo a cuerpo o a distancia: +4 para impactar, alcance 5 pies o alcance 30/120 pies, un objetivo. Impacto: 5 (1d6 + 2) de daño perforante.

Invocar elemental de aire. Cinco aarakocra a una distancia de 30 pies uno del otro pueden convocar mágicamente a un elemental de aire. Cada uno de los cinco debe utilizar su acción y movimiento en tres turnos consecutivos para realizar una danza aérea y debe mantener la concentración mientras lo hace (como si se concentrara en un hechizo). Cuando los cinco han terminado su tercer turno de danza, el elemental aparece en un espacio desocupado a 60 pies de ellos. Es amigable con ellos y obedece sus órdenes habladas. Permanece durante 1 hora, hasta que él o todos sus invocadores mueran, o hasta que cualquiera de sus invocadores lo descarte como acción adicional. Un invocador no puede volver a realizar el baile hasta que finalice un breve descanso. Cuando el elemental regresa al Plano Elemental de Aire, cualquier aarakocra que se encuentre a 5 pies de él puede regresar con él.","","","","","","","Montaña",""
"Aeromante de Aarakocra","MM'25","10","Mediano","Elemental","neutral","16","66 (12d8 + 12)","20 pies, Vuela 50 pies.","10","16","12","13","17","12","Des +5, Sab +5","Arcanos +3, Naturaleza +5, Percepción +7","","","","","percepción pasiva 17","Aarakocra, Primordial (Auran)","4 (PX 1.100; PB +2)","","Multiataque. El aarakocra realiza dos ataques con Bastón de Viento y puede usar Lanzamiento de hechizos para lanzar Ráfaga de viento.

Lanzamiento de hechizos. El aarakocra lanza uno de los siguientes hechizos, que no requiere componentes materiales y usa Sabiduría como habilidad de lanzamiento de hechizos (salvación de hechizo CD 13):

A voluntad: Elementalismo, Ráfaga de viento, Mano de mago, Mensaje

1/día: Relámpago

Bastón de viento. Tirada de ataque cuerpo a cuerpo o a distancia: +5, alcance 5 pies o alcance 120 pies. Impacto: 7 (1d8 + 3) de daño contundente más 11 (2d10) de daño de rayo.","","Caída de plumas (1/día). El aarakocra lanza Caída pluma en respuesta a la activación de ese hechizo, usando la misma habilidad de lanzamiento de hechizos que Lanzamiento de hechizos.","","","","","Montaña, Planar (Plano Elemental del Aire)","Individuales, Implementos"
"Simulacro de Aarakocra","SKT","188","Mediano","Humanoide (Aarakocra)","neutral bueno","12","6 (3d4)","20 pies, Vuela 50 pies.","10","14","10","11","12","11","","Percepción +5","","","","","percepción pasiva 15","Auran, Arakocra","1/8 (PX 25; PB +2)","Ataque en picado. Si el aarakocra está volando y se lanza al menos 30 pies directamente hacia un objetivo y luego lo golpea con un ataque de arma cuerpo a cuerpo, el ataque causa 3 (1d6) de daño adicional al objetivo.

Simulacros. Cuando un simulacro cae a 0 puntos de vida o se somete a un conjuro de disipar magia exitoso (CD 17), vuelve a ser hielo y nieve y es destruido.","Garra. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 5 pies, un objetivo. Impacto: 4 (1d4 + 2) de daño cortante.

Jabalina. Ataque con arma cuerpo a cuerpo o a distancia: +4 para impactar, alcance 5 pies o alcance 30/120 pies, un objetivo. Impacto: 5 (1d6 + 2) de daño perforante.

Invocar elemental de aire. Cinco aarakocra a una distancia de 30 pies uno del otro pueden convocar mágicamente a un elemental de aire. Cada uno de los cinco debe utilizar su acción y movimiento en tres turnos consecutivos para realizar una danza aérea y debe mantener la concentración mientras lo hace (como si se concentrara en un hechizo). Cuando los cinco han terminado su tercer turno de danza, el elemental aparece en un espacio desocupado a 60 pies de ellos. Es amigable con ellos y obedece sus órdenes habladas. Permanece durante 1 hora, hasta que él o todos sus invocadores mueran, o hasta que cualquiera de sus invocadores lo descarte como acción adicional. Un invocador no puede volver a realizar el baile hasta que finalice un breve descanso. Cuando el elemental regresa al Plano Elemental de Aire, cualquier aarakocra que se encuentre a 5 pies de él puede regresar con él.","","","","","","","",""
"Hostigador de Aarakocra","MM'25","10","Mediano","Elemental","neutral","12","11 (2d8 + 2)","20 pies, Vuela 50 pies.","10","14","12","11","12","11","","Percepción +5","","","","","percepción pasiva 15","Aarakocra, Primordial (Auran)","1/4 (PX 50; PB +2)","","Garras. Tirada de ataque cuerpo a cuerpo: +4, alcance 5 pies. Impacto: 4 (1d4 + 2) de daño cortante, o 9 (3d4 + 2) de daño cortante si el aarakocra se movió más de 30 pies en línea recta hacia el objetivo inmediatamente antes del golpe.

Jabalina de viento. Tirada de ataque cuerpo a cuerpo o a distancia: +4, alcance 5 pies o alcance 30/120 pies. Impacto: 5 (1d6 + 2) de daño perforante más 2 (1d4) de daño de trueno. Acertar o fallar: la jabalina regresa mágicamente a la mano del aarakocra inmediatamente después de un ataque a distancia.","","","","","","","Montaña, Planar (Plano Elemental del Aire)","Individuales, Implementos"
"Aarakocra Spelljammer","LoX","43","Mediano","Humanoide (Aarakocra)","cualquier alineación","12 (15 con armadura de mago)","40 (9d8)","30 pies, Vuela 50 pies.","9","14","11","17","12","11","Int +6, Sab +4","Arcanos +6, Historia +6","","","","","Percepción pasiva 11","Cuatro idiomas cualesquiera","6 (PX 2.300; PB +3)","Lanzamiento de hechizos. El aarakocra es un lanzador de conjuros de nivel 9. Su habilidad para lanzar hechizos es Inteligencia (salvación de hechizos CD 14, +6 para golpear con ataques de hechizos). El aarakocra tiene preparados los siguientes hechizos de mago:

Trucos (a voluntad): Rayo de fuego, Luz, Mano de mago, Prestidigitación

1er nivel (4 espacios): Detectar magia, Armadura de mago, Misil mágico, Escudo

2do nivel (3 espacios): paso brumoso, Sugestion

3er nivel (3 espacios): Contrahechizo, bola de fuego, Volar

4to nivel (3 espacios): Invisibilidad mayor, Tormenta de hielo

5to nivel (1 espacio): cono de frío","Daga. Ataque con arma cuerpo a cuerpo o a distancia: +5 para impactar, alcance 5 pies o alcance 20/60 pies, un objetivo. Impacto: 4 (1d4 + 2) de daño perforante.","","","","","","","",""
"Anciano Aartuk","BAM","8","Grande","Planta","maldad legal","16 (armadura natural)","75 (10d10+20)","20 pies, subir 20 pies.","18","10","15","12","14","12","","","","","","","Visión oscura 60 pies, percepción pasiva 12","Aartuk","3 (XP 700; PB +2)","Escalada de araña. El aartuk puede escalar superficies difíciles, incluso techos boca abajo, sin necesidad de realizar una prueba de habilidad.","Multiataque. El aartuk realiza dos ataques de Rama, dos ataques de Píldoras Radiantes o uno de cada uno.

Rama. Ataque con arma cuerpo a cuerpo: +6 para impactar, alcance 10 pies, un objetivo. Impacto: 11 (2d6 + 4) de daño contundente.

Pellet Radiante. Ataque con hechizos a distancia: +4 al impacto, alcance 60 pies, un objetivo. Impacto: 10 (4d4) de daño radiante.

Lanzamiento de hechizos (psiónica). El aartuk lanza uno de los siguientes conjuros, que no requiere componentes de conjuro y utiliza Sabiduría como aptitud de lanzamiento de conjuros (salvación de conjuro CD 12):

1/día cada uno: Calmar las emociones, Detectar magia, Envío","Lengua (Recarga 6). El aartuk intenta usar su lengua pegajosa para atrapar una criatura grande o más pequeña que pueda ver a 30 pies de él. El objetivo debe realizar una tirada de salvación de Destreza CD 12. En una salvación fallida, el objetivo es agarrado por la lengua (escapar CD 14) y arrastrado hasta 25 pies hacia el aartuk. La lengua puede atrapar una criatura a la vez.","","","","","","",""
"Aartuk Starhorror","BAM","9","Mediano","Planta","maldad legal","14 (armadura natural)","52 (8d8 + 16)","20 pies, subir 20 pies.","12","10","14","13","16","10","","Sigilo +4","","","","","Visión oscura 60 pies, percepción pasiva 13","Aartuk","2 (PX 450; PB +2)","Escalada de araña. El aartuk puede escalar superficies difíciles, incluso techos boca abajo, sin necesidad de realizar una prueba de habilidad.","Multiataque. El aartuk realiza dos ataques de Rama, dos ataques de Píldoras Radiantes o uno de cada uno.

Rama. Ataque con arma cuerpo a cuerpo: +3 para impactar, alcance 10 pies, un objetivo. Impacto: 8 (2d6 + 1) de daño contundente.

Pellet Radiante. Ataque con hechizos a distancia: +2 al impacto, alcance 60 pies, un objetivo. Impacto: 7 (3d4) de daño radiante.

Lanzamiento de hechizos (psiónica). El aartuk lanza uno de los siguientes hechizos, que no requiere componentes de hechizo y usa Sabiduría como habilidad de lanzamiento de hechizos:

1/día cada uno: Revivificar, Habla con las plantas","Reúne las tropas (1/día). El aartuk mágicamente pone fin a las condiciones de encantamiento y miedo en sí mismo y en cada criatura de su elección que puede ver a menos de 30 pies de él.

Lengua (Recarga 6). El aartuk intenta usar su lengua pegajosa para atrapar a una criatura mediana o más pequeña que pueda ver a 30 pies de él. El objetivo debe realizar una tirada de salvación de Destreza CD 12. En una salvación fallida, el objetivo es agarrado por la lengua (escapar CD 11) y arrastrado hasta 25 pies hacia el aartuk. La lengua puede atrapar una criatura a la vez.","","","","","","",""
"Weedling de Aartuk","BAM","9","Mediano","Planta","maldad legal","15 (armadura natural)","38 (7d8 + 7)","20 pies, subir 20 pies.","14","12","13","10","13","10","","","","","","","Visión oscura 60 pies, percepción pasiva 11","Aartuk","2 (PX 450; PB +2)","Escalada de araña. El aartuk puede escalar superficies difíciles, incluso techos boca abajo, sin necesidad de realizar una prueba de habilidad.","Multiataque. El aartuk realiza dos ataques de Rama, dos ataques de Píldoras Radiantes o uno de cada uno.

Rama. Ataque con arma cuerpo a cuerpo: +4 para impactar, alcance 10 pies, un objetivo. Impacto: 8 (2d6 + 2) de daño contundente.

Pellet Radiante. Ataque con hechizos a distancia: +3 al impacto, alcance 60 pies, un objetivo. Impacto: 7 (3d4 + 1) de daño radiante.","Lengua (Recarga 6). El aartuk intenta usar su lengua pegajosa para atrapar a una criatura mediana o más pequeña que pueda ver a 30 pies de él. El objetivo debe realizar una tirada de salvación de Destreza CD 11. En una salvación fallida, el objetivo es agarrado por la lengua (escapar CD 12) y arrastrado hasta 25 pies hacia el aartuk. La lengua puede atrapar una criatura a la vez.","","","","","","",""
"Cultista aberrante","MM'25","86","Pequeño o mediano","humanoide","mal neutral","14","137 (25d8 + 25)","30 pies.","10","19","12","16","18","15","Int +6, Sab +7","Arcanos +6, Percepción +7, Religión +6","","","","","Visión oscura 90 pies, percepción pasiva 17","discurso común y profundo; Telepatía 30 pies.","8 (PX 3.900; PB +3)","","Multiataque. El cultista realiza dos ataques de Tentacle Lash. Puede reemplazar cualquier ataque con el uso de Mind Rot.

Lanzamiento de hechizos. El cultista lanza uno de los siguientes conjuros, utilizando Sabiduría como aptitud de lanzamiento de conjuros (salvación de conjuro CD 15):

A voluntad: Detectar pensamientos, Ilusión menor

Latigazo de tentáculo. Tirada de ataque cuerpo a cuerpo: +7, alcance 10 pies. Impacto: 7 (1d6 + 4) de daño cortante más 14 (4d6) de daño psíquico. Si el objetivo es una criatura Grande o más pequeña, tiene la condición de Apresado (escapar CD 14) de uno de los dos tentáculos, y tiene la condición de Restringido hasta que termina la presa.

Podredumbre mental. Tiro de salvación de sabiduría: CD 15, una criatura que el cultista puede ver a menos de 90 pies. Fallo: 27 (6d8) de daño psíquico y el objetivo tiene la condición de Envenenado hasta el comienzo del siguiente turno del cultista. Éxito: Solo la mitad del daño.","","Contrahechizo (2/día). El cultista lanza Contrahechizo en respuesta a la activación de ese hechizo, usando la misma habilidad de lanzamiento de hechizos que Lanzamiento de hechizos.","","","","","Cualquier","Individual, Reliquias"
"Espíritu aberrante","TCE","109","Mediano","Aberración","no alineado","11 + el nivel del hechizo (armadura natural)","40 + 10 por cada nivel de hechizo superior al 4º","30 pies, vuelo 30 pies (solo espectador; flotar)","16","10","15","16","10","6","","","","","psíquico","","Visión en la oscuridad 60 pies, percepción pasiva 10","Deep Speech, entiende los idiomas que hablas","Ninguno (XP 0)","Regeneración (solo Slaad). La aberración recupera 5 puntos de vida al comienzo de su turno si tiene al menos 1 punto de vida.

Aura susurrante (solo generación de estrellas). Al comienzo de cada uno de los turnos de la aberración, cada criatura dentro de un radio de 5 pies de la aberración debe superar una tirada de salvación de Sabiduría contra la CD de salvación de tu hechizo o sufrir 2d6 de daño psíquico, siempre que la aberración no esté incapacitada.","Multiataque. La aberración realiza un número de ataques igual a la mitad del nivel de este hechizo (redondeado hacia abajo).

Eye Ray (solo Beholderkin). Ataque con hechizo a distancia: tu modificador de ataque con hechizo para impactar, alcance 150 pies, una criatura. Impacto: 1d8 + 3 + el nivel de daño psíquico del hechizo.

Garras (solo Slaad). Ataque con arma cuerpo a cuerpo: tu modificador de ataque de hechizo para golpear, alcanza 5 pies, un objetivo. Impacto: 1d10 + 3 + el nivel de daño cortante del hechizo. Si el objetivo es una criatura, no puede recuperar puntos de vida hasta el comienzo del siguiente turno de la aberración.

Golpe psíquico (solo generación de estrellas). Ataque de hechizo cuerpo a cuerpo: tu modificador de ataque de hechizo para golpear, alcanza 5 pies, una criatura. Impacto: 1d8 + 3 + el nivel de daño psíquico del hechizo.","","","","","","","",""
