"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"+1 herramienta multiusos","TCE","119","poco común","Objeto maravilloso, enfoque de lanzamiento de hechizos","Requiere sintonía por parte de un artífice","","","","","","Este sencillo destornillador puede transformarse en una variedad de herramientas; como acción, puedes tocar el objeto y transformarlo en cualquier tipo de herramienta artesanal de tu elección (consulta el capítulo ""Equipo"" en el Manual del jugador para obtener una lista de herramientas artesanales). Cualquiera que sea la forma que adopte la herramienta, usted la domina.

Mientras sostienes esta herramienta, obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de artífice.

Como acción, puedes centrarte en la herramienta para canalizar tus fuerzas creativas. Elige un truco que no conozcas de ninguna lista de clases. Durante 8 horas, puedes lanzar ese truco y cuenta como un truco de artífice para ti. Una vez que se usa esta propiedad, no se puede volver a usar hasta el siguiente amanecer."
"+1 munición","DMG'24","228","poco común","Municiones, variante genérica","","","","","","","Tienes una bonificación de +1 a las tiradas de ataque y daño realizadas con esta munición mágica. Una vez que alcanza un objetivo, la munición deja de ser mágica.

Esta munición suele encontrarse o venderse en cantidades de diez o veinte piezas. Diez piezas de esta munición equivalen en valor a una poción de la misma rareza (200 GP).

Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:

Flecha (+1 flecha)Perno (+1 Perno)Célula de energía (+1 Celda de energía)Bala de arma de fuego (+1 bala de arma de fuego)Aguja (+1 aguja)Bala de honda (+1 bala de honda)"
"+1 Amuleto del Devoto","TCE","119","poco común","Objeto maravilloso","Requiere sintonía por parte de un clérigo o paladín","","","","1 lb.","","Este amuleto lleva el símbolo de una deidad con incrustaciones de piedras o metales preciosos. Mientras usas el símbolo sagrado, obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos.

Mientras usas este amuleto, puedes usar tu función Canalizar Divinidad sin gastar uno de los usos de la función. Una vez que se usa esta propiedad, no se puede volver a usar hasta el siguiente amanecer."
"+1 Grimorio Arcano","TCE","120","poco común","Objeto maravilloso, enfoque de lanzamiento de hechizos","Requiere sintonía por parte de un mago","","","","3 lb.","","Mientras sostienes este libro encuadernado en cuero, puedes usarlo como foco de lanzamiento de hechizos para tus hechizos de mago, y obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de mago.

Puedes utilizar este libro como libro de hechizos. Además, cuando usas tu función de Recuperación Arcana, puedes aumentar en 1 el número de niveles de espacios de hechizo que recuperas."
"+1 Armadura","DMG'24","230","extraño","Variante genérica","","","","","","","Tienes una bonificación de +1 a la CA mientras usas esta armadura.

Artículos básicos. Esta variante de artículo se puede aplicar a los siguientes artículos básicos:

Coraza (+1 Coraza)Cota de malla (+1 Cota de malla)Camisa de cota de malla (+1 Camisa de cota)Media armadura de placas (+1 Media armadura de placas)Armadura de piel (+1 Armadura de piel)Armadura de cuero (+1 Armadura de cuero)Armadura acolchada (+1 Armadura acolchada)Armadura de placas (+1 Armadura de placas)Cota de malla (+1 Cota de malla)Cota de malla (+1 Cota de malla)Armadura de férula (+1 Armadura de férula)Armadura de cuero tachonada (+1 Cuero tachonado) Armadura)"
"+1 vial de Pozo de sangre","TCE","122","poco común","Objeto maravilloso, enfoque de lanzamiento de hechizos","Requiere sintonización por parte de un hechicero","","","","","","Para sintonizar con este vial, debes colocar unas gotas de tu sangre en él. El vial no se puede abrir mientras dure tu sintonía con él. Si tu sintonía con el vial termina, la sangre contenida se convierte en cenizas. Puedes usar el frasco como foco de lanzamiento de hechizos para tus hechizos mientras lo usas o lo sostienes, y obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de hechicero.

Además, cuando lanzas cualquier Dado de Golpe para recuperar puntos de golpe mientras llevas el frasco, puedes recuperar 5 puntos de hechicería. Esta propiedad del vial no se puede volver a utilizar hasta el siguiente amanecer."
"+1 Cinturón de piel de dragón","FTD","23","poco común","Objeto maravilloso","Requiere sintonía por parte de un monje","","","","","","Este cinturón finamente detallado está hecho de piel de dragón. Mientras lo usas, obtienes una bonificación de +1 a las CD de las tiradas de salvación de tus características de ki. Además, puedes utilizar una acción para recuperar puntos de ki equivalentes a una tirada de tu dado de Artes Marciales. No podrás volver a utilizar esta acción hasta el siguiente amanecer."
"+1 mazo del repartidor de destino","BMT","61","extraño","Objeto maravilloso","Requiere sintonía por parte de un clérigo o paladín","","","","","","El reverso de estas cartas está inscrito con glifos que representan los planos interiores, los planos exteriores o los símbolos sagrados de varias deidades. Mientras sostienes este mazo, puedes usarlo como un foco de lanzamiento de hechizos y obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a tu CD de salvación de hechizos.

Además, mientras sostienes el mazo, puedes robar una carta como acción para gastar y tirar uno de tus Dados de Golpe y agregar la bonificación del mazo al número obtenido. Una criatura que puedas ver a 30 pies de ti sufre daño radiante o recupera puntos de vida (tú eliges) iguales al total."
"+1 Hoz Lunar","TCE","133","poco común","Arma (hoz), arma simple, arma cuerpo a cuerpo","Requiere sintonía por parte de un druida o guardabosques","1d4 Corte","luz","","2 lb.","","Esta hoz de hoja plateada brilla suavemente con la luz de la luna. Mientras sostienes esta arma mágica, obtienes una bonificación de +1 a las tiradas de ataque y daño realizadas con ella, y obtienes una bonificación de +1 a las tiradas de ataque de hechizos y las CD de las tiradas de salvación de tus hechizos de druida y explorador. Además, puedes usar la hoz como foco de lanzamiento de hechizos para tus hechizos de druida y guardabosques.

Cuando lanzas un hechizo que restaura los puntos de vida, puedes tirar un d4 y sumar el número obtenido a la cantidad de puntos de vida restaurados, siempre que estés sosteniendo la hoz.

Luz. Un arma ligera es pequeña y fácil de manejar, lo que la hace ideal para usar cuando se lucha con dos armas."
"+1 tambor de ritmo","TCE","134","poco común","Objeto maravilloso, instrumento (tambor)","Requiere sintonía por parte de un bardo","","","","3 lb.","","Mientras sostienes este tambor, obtienes una bonificación de +1 a las tiradas de ataque de hechizos y a las CD de las tiradas de salvación de tus hechizos de bardo.

Como acción, puedes tocar el tambor para recuperar un uso de tu función Bardic Inspiration. Esta propiedad del tambor no se puede volver a utilizar hasta el siguiente amanecer.

Si tienes competencia con un instrumento musical determinado, puedes agregar tu bonificación de competencia a cualquier prueba de habilidad que realices para tocar música con el instrumento. Un bardo puede utilizar un instrumento musical como foco de lanzamiento de hechizos. Cada tipo de instrumento musical requiere un dominio distinto.

Consulte la entrada Competencias en herramientas para obtener más información.

El dominio de un instrumento musical indica que está familiarizado con las técnicas utilizadas para tocarlo. También tienes conocimiento de algunas canciones comúnmente interpretadas con ese instrumento.

Historia. Tu experiencia te ayuda a recordar la tradición relacionada con tu instrumento.

Actuación. Tu capacidad para dar un buen espectáculo mejora cuando incorporas un instrumento a tu acto.

Componer una melodía. Como parte de un largo descanso, puedes componer una nueva melodía y letra para tu instrumento. Podrías utilizar esta habilidad para impresionar a un noble o difundir rumores escandalosos con una melodía pegadiza.

Instrumento musicalActividadDCIdentificar una melodía10Improvisar una melodía20"
