"Name,""Source"",""Page"",""Size"",""Type"",""Alignment"",""AC"",""HP"",""Speed"",""Strength"",""Dexterity"",""Constitution"",""Intelligence"",""Wisdom"",""Charisma"",""Saving Throws"",""Skills"",""Damage Vulnerabilities"",""Damage Resistances"",""Damage Immunities"",""Condition Immunities"",""Senses"",""Languages"",""CR"",""Traits"",""Actions"",""Bonus Actions"",""Reactions"",""Legendary Actions"",""Mythic Actions"",""Lair Actions"",""Regional Effects"",""Environment"",""Treasure""";;;;;;;
"Aarakocra,""MM'14"",""12"",""Medium"",""Humanoid (Aarakocra)"",""neutral good"",""12"",""13 (3d8)"",""20 ft., Fly 50 ft."",""10"",""14"",""10"",""11"",""12"",""11"","""",""Perception +5"","""","""","""","""",""passive Perception 15"",""Auran, Aarakocra"",""1/4 (XP 50";" PB +2)"",""Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target."",""Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.";;;;;;
;;;;;;;
Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.;;;;;;;
;;;;;;;
"Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it."","""","""","""","""","""","""",""Mountain"",""""";;;;;;;
"Aarakocra Aeromancer,""MM'25"",""10"",""Medium"",""Elemental"",""neutral"",""16"",""66 (12d8 + 12)"",""20 ft., Fly 50 ft."",""10"",""16"",""12"",""13"",""17"",""12"",""Dex +5, Wis +5"",""Arcana +3, Nature +5, Perception +7"","""","""","""","""",""passive Perception 17"",""Aarakocra, Primordial (Auran)"",""4 (XP 1.100";" PB +2)"","""",""Multiattack. The aarakocra makes two Wind Staff attacks, and it can use Spellcasting to cast Gust of Wind.";;;;;;
;;;;;;;
Spellcasting. The aarakocra casts one of the following spells, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 13):;;;;;;;
;;;;;;;
At will: Elementalism, Gust of Wind, Mage Hand, Message;;;;;;;
;;;;;;;
1/day: Lightning Bolt;;;;;;;
;;;;;;;
"Wind Staff. Melee or Ranged Attack Roll: +5, reach 5 ft. or range 120 ft. Hit: 7 (1d8 + 3) Bludgeoning damage plus 11 (2d10) Lightning damage."","""",""Feather Fall (1/Day). The aarakocra casts Feather Fall in response to that spell's trigger, using the same spellcasting ability as Spellcasting."","""","""","""","""",""Mountain, Planar (Elemental Plane of Air)"",""Individual, Implements""";;;;;;;
"Aarakocra Simulacrum,""SKT"",""188"",""Medium"",""Humanoid (Aarakocra)"",""neutral good"",""12"",""6 (3d4)"",""20 ft., Fly 50 ft."",""10"",""14"",""10"",""11"",""12"",""11"","""",""Perception +5"","""","""","""","""",""passive Perception 15"",""Auran, Aarakocra"",""1/8 (XP 25";" PB +2)"",""Dive Attack. If the aarakocra is flying and dives at least 30 feet straight toward a target and then hits it with a melee weapon attack, the attack deals an extra 3 (1d6) damage to the target.";;;;;;
;;;;;;;
"Simulacra. When a simulacrum drops to 0 hit points or is subjected to a successful dispel magic spell (DC 17), it reverts to ice and snow and is destroyed."",""Talon. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) slashing damage.";;;;;;;
;;;;;;;
Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.;;;;;;;
;;;;;;;
"Summon Air Elemental. Five aarakocra within 30 feet of each other can magically summon an air elemental. Each of the five must use its action and movement on three consecutive turns to perform an aerial dance and must maintain concentration while doing so (as if concentrating on a spell). When all five have finished their third turn of the dance, the elemental appears in an unoccupied space within 60 feet of them. It is friendly toward them and obeys their spoken commands. It remains for 1 hour, until it or all its summoners die, or until any of its summoners dismisses it as a bonus action. A summoner can't perform the dance again until it finishes a short rest. When the elemental returns to the Elemental Plane of Air, any aarakocra within 5 feet of it can return with it."","""","""","""","""","""","""","""",""""";;;;;;;
"Aarakocra Skirmisher,""MM'25"",""10"",""Medium"",""Elemental"",""neutral"",""12"",""11 (2d8 + 2)"",""20 ft., Fly 50 ft."",""10"",""14"",""12"",""11"",""12"",""11"","""",""Perception +5"","""","""","""","""",""passive Perception 15"",""Aarakocra, Primordial (Auran)"",""1/4 (XP 50";" PB +2)"","""",""Talons. Melee Attack Roll: +4, reach 5 ft. Hit: 4 (1d4 + 2) Slashing damage, or 9 (3d4 + 2) Slashing damage if the aarakocra moved 30+ feet straight toward the target immediately before the hit.";;;;;;
;;;;;;;
"Wind Javelin. Melee or Ranged Attack Roll: +4, reach 5 ft. or range 30/120 ft. Hit: 5 (1d6 + 2) Piercing damage plus 2 (1d4) Thunder damage. Hit or Miss: The javelin magically returns to the aarakocra's hand immediately after a ranged attack."","""","""","""","""","""","""",""Mountain, Planar (Elemental Plane of Air)"",""Individual, Implements""";;;;;;;
"Aarakocra Spelljammer,""LoX"",""43"",""Medium"",""Humanoid (Aarakocra)"",""any alignment"",""12 (15 with mage armor)"",""40 (9d8)"",""30 ft., Fly 50 ft."",""9"",""14"",""11"",""17"",""12"",""11"",""Int +6, Wis +4"",""Arcana +6, History +6"","""","""","""","""",""passive Perception 11"",""Any four languages"",""6 (XP 2.300";" PB +3)"",""Spellcasting. The aarakocra is a 9th-level spellcaster. Its spellcasting ability is Intelligence (spell save DC 14, +6 to hit with spell attacks). The aarakocra has the following wizard spells prepared:";;;;;;
;;;;;;;
Cantrips (at will): fire bolt, light, mage hand, prestidigitation;;;;;;;
;;;;;;;
1st level (4 slots): detect magic, mage armor, magic missile, shield;;;;;;;
;;;;;;;
2nd level (3 slots): misty step, suggestion;;;;;;;
;;;;;;;
3rd level (3 slots): counterspell, fireball, fly;;;;;;;
;;;;;;;
4th level (3 slots): greater invisibility, ice storm;;;;;;;
;;;;;;;
