Name,Source,Page,Level,Casting Time,Duration,School,Range,Components,Classes,Optional/Variant Classes,Subclasses,Text,At Higher Levels
Abi-Dalzim's Horrid Wilting,XGE,150,8th,accion,instantaneo,necromancia,150 pies,"V, S, M (a bit of sponge)",,"Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcana (SCAG) Cleric, Arcana (SCAG) Cleric","You draw the moisture from every creature in a 30-foot cube centered on a point you choose within Alcance. cada criatura in that area must make a Constitution tirada de salvacion. Constructs and No muerto aren't affected, and plants and water elementals make this tirada de salvacion with disadvantage. A creature recibe 12d8 necrotic dano on a failed save, or half as much dano on a successful one.

Nonmagical plants in the area that aren't creatures, such as trees and shrubs, wither and die instantly.",
Absorb Elements,XGE,150,1st,reaccion,1 round,abjuracion,personal,S,,"Artificer (TCE), Artificer (EFA), Druid (PHB'14), Druid (PHB'24), Ranger (PHB'14), Ranger (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Abjurer (PHB'24) Wizard, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","The spell captures some of the incoming energy, lessening its effect on you and storing it for your next melee attack. You have resistance to the triggering dano type until the start of your next turn. Also, the first time you hit with a melee attack on your next turn, el objetivo recibe an extra 1d6 dano of the triggering type, and the spell ends.","A niveles superiores. When you cast this spell using a spell slot of 2nd level or higher, the extra dano increases by 1d6 for each slot level above 1st."
Acid Splash,PHB'14,211,truco,accion,instantaneo,conjuracion,60 pies,"V, S","Artificer (TCE), Sorcerer (PHB'14), Wizard (PHB'14)",,"Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You hurl a bubble of acid. Choose una criatura you can see within Alcance, or choose two creatures you can see within Alcance that are within 5 pies of each other. A target debe superar a Dexterity tirada de salvacion or take 1d6 acid dano.

This spell's dano increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",
Acid Splash,PHB'24,239,truco,accion,instantaneo,evocacion,60 pies,"V, S","Artificer (EFA), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcana (SCAG) Cleric, Arcana (SCAG) Cleric, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Land (Tropical Land) (PHB'24) Druid, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","You create an acidic bubble at a point within Alcance, where it explodes in a 5-foot-radius Sphere. cada criatura in that Sphere debe superar a Dexterity tirada de salvacion or take 1d6 Acid dano.","Cantrip Upgrade. The dano increases by 1d6 when you reach levels 5 (2d6), 11 (3d6), and 17 (4d6)."
Aganazzar's Scorcher,XGE,150,2nd,accion,instantaneo,evocacion,30 pies,"V, S, M (a red Dragon's scale)",,"Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Evoker (PHB'24) Wizard","A line of roaring flame 30 pies long and 5 pies wide emanates from you in a direction you choose. cada criatura in the line must make a Dexterity tirada de salvacion. A creature recibe 3d8 fire dano on a failed save, or half as much dano on a successful one.","A niveles superiores. When you cast this spell using a spell slot of 3rd level or higher, the dano increases by 1d8 for each slot level above 2nd."
Aid,PHB'14,211,2nd,accion,8 hours,abjuracion,30 pies,"V, S, M (a Diminuto strip of white cloth)","Artificer (TCE), Cleric (PHB'14), Paladin (PHB'14)","Bard (PHB'14), Ranger (PHB'14)","Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Peace (TCE) Cleric, Peace (TCE) Cleric, Solidarity (PSA) (PSA) Cleric, Solidarity (PSA) (PSA) Cleric",Your spell bolsters your allies with toughness and resolve. Choose up to three creatures within Alcance. Each target's hit point maximum and current puntos de golpe increase by 5 for the Duracion.,"A niveles superiores. When you cast this spell using a spell slot of 3rd level or higher, a target's puntos de golpe increase by an additional 5 for each slot level above 2nd."
Aid,PHB'24,239,2nd,accion,8 hours,abjuracion,30 pies,"V, S, M (a strip of white cloth)","Artificer (EFA), Bard (PHB'24), Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24), Ranger (PHB'24)",,"Celestial (PHB'24) Warlock, Clockwork (PHB'24) Sorcerer, Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Life (PHB'24) Cleric, Devotion (PHB'24) Paladin, Peace (TCE) Cleric, Peace (TCE) Cleric, Solidarity (PSA) (PSA) Cleric, Solidarity (PSA) (PSA) Cleric",Choose up to three creatures within Alcance. Each target's Hit Point maximum and current puntos de golpe increase by 5 for the Duracion.,Using a Higher-Level Spell Slot. Each target's puntos de golpe increase by 5 for each spell slot level above 2.
Air Bubble,AAG,22,2nd,accion,24 hours,conjuracion,60 pies,S,"Artificer (TCE), Artificer (EFA), Druid (PHB'14), Druid (PHB'24), Ranger (PHB'14), Ranger (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You create a spectral globe around the head of a willing creature you can see within Alcance. The globe is filled with fresh air that lasts until the spell ends. If the creature has more than one head, the globe of air appears around only one of its heads (which is all the creature needs to avoid suffocation, assuming that all its heads share the same respiratory system).","A niveles superiores. When you cast this spell using a spell slot of 3rd level or higher, you can create two additional globes of fresh air for each slot level above 2nd."
Alarm,PHB'14,211,1st,1 Min.,8 hours,Abjuration (ritual),30 pies,"V, S, M (a Diminuto bell and a piece of fine silver wire)","Artificer (TCE), Ranger (PHB'14), Wizard (PHB'14)",,"Abjurer (PHB'24) Wizard, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Watchers (TCE) Paladin, Watchers (TCE) Paladin","You set an alarm against unwanted intrusion. Choose a door, a window, or an area within Alcance that is no larger than a 20-foot cube. Until the spell ends, an alarm alerts you whenever a Diminuto or larger creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is mental or audible.

A mental alarm alerts you with a ping in your mind if you are within 1 mile of the warded area. This ping awakens you if you are sleeping.

An audible alarm produces the sound of a hand bell for 10 seconds within 60 pies.",
Alarm,PHB'24,239,1st,1 Min.,8 hours,Abjuration (ritual),30 pies,"V, S, M (a bell and silver wire)","Artificer (EFA), Ranger (PHB'24), Wizard (PHB'24)",,"Abjurer (PHB'24) Wizard, Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Clockwork (PHB'24) Sorcerer, Clockwork Soul (TCE) Sorcerer, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Watchers (TCE) Paladin, Watchers (TCE) Paladin","You set an alarm against intrusion. Choose a door, a window, or an area within Alcance that is no larger than a 20-foot Cube. Until the spell ends, an alarm alerts you whenever a creature touches or enters the warded area. When you cast the spell, you can designate creatures that won't set off the alarm. You also choose whether the alarm is audible or mental:

Audible Alarm. The alarm produces the sound of a handbell for 10 seconds within 60 pies of the warded area.

Mental Alarm. You are alerted by a mental ping if you are within 1 mile of the warded area. This ping awakens you if you're asleep.",
